FDC Import,Version Number,v1,,,,,,,,Add at install time,,,,,,,
SWITCH NAME,ROLE,FABRIC,SWITCH IP/MASK,SWITCH GATEWAY,USERNAME,PASSWORD,POD,RACK,PAIRS,LLDP CHASSIS ID,SDLC HOSTNAME,IP SOURCE,IP AND MASK,GATEWAY,COMM TYPE,ZTP IDENTIFICATION,MGT TOR UPLINK PORT
SuperSpine 1A,superspine,MainFabric,10.168.7.17/24,10.168.7.1,admin,mypasswd,,RACK A1,,SuperSpine 1A,SDLC,dhcp,,,gnmi,21M5SR2,
Spine DK1,spine,MainFabric,10.168.7.14/24,10.168.7.1,admin,mypasswd,POD A,RACK A1,,Spine DK1,SDLC,dhcp,,,gnmi,21M5SR3,
Spine DK2,spine,MainFabric,10.168.7.15/24,10.168.7.1,admin,mypasswd,POD A,RACK A2,,Spine DK2,SDLC,dhcp,,,gnmi,22J3SR3,
Spine DK3,spine,MainFabric,10.168.7.16/24,10.168.7.1,admin,mypasswd,POD B,RACK A3,,Spine DK3,SDLC,dhcp,,,gnmi,22J3SR4,
Leaf SN2,leaf,MainFabric,10.168.7.22/24,10.168.7.1,admin,mypasswd,POD C,RACK A1,,Leaf SN2,SDLC,dhcp,,,gnmi,22J3SR5,
Spine DK5,spine,MainFabric,10.168.7.21/24,10.168.7.1,admin,mypasswd,POD C,RACK A1,,Spine DK5,SDLC,dhcp,,,gnmi,22J3SR6,
Leaf SN4,leaf,MainFabric,10.168.7.20/24,10.168.7.1,admin,mypasswd,POD C,RACK A1,,Leaf SN4,SDLC,dhcp,,,gnmi,22J3SR7,
Leaf SN3,leaf,MainFabric,10.168.7.23/24,10.168.7.1,admin,mypasswd,POD B,RACK A2,,Leaf SN3,SDLC,dhcp,,,gnmi,22J3SR8,
Leaf SN6,leaf,MainFabric,10.168.7.24/24,10.168.7.1,admin,mypasswd,POD B,RACK A2,Switch Pair R1,Leaf SN6,SDLC,dhcp,,,gnmi,51HPY03,
Leaf SN7,leaf,MainFabric,10.168.7.25/24,10.168.7.1,admin,mypasswd,POD B,RACK A2,Switch Pair R1,Leaf SN7,SDLC,dhcp,,,gnmi,51HPY04,
Leaf SN8,leaf,MainFabric,10.168.7.26/24,10.168.7.1,admin,mypasswd,POD 2A,RACK A2,,Leaf SN8,SDLC,dhcp,,,gnmi,51HPY05,
Leaf SN9,leaf,MainFabric,10.168.7.27/24,10.168.7.1,admin,mypasswd,POD 2A,RACK A3,,Leaf SN9,SDLC,dhcp,,,gnmi,51HPY06,
Leaf SN10,leaf,MainFabric,10.168.7.28/24,10.168.7.1,admin,mypasswd,POD 2A,RACK A3,,Leaf SN10,SDLC,dhcp,,,gnmi,51HPY07,
MGMT-SWITCH,management,Management1,10.168.7.13/24,10.168.7.1,admin,mypasswd,POD A,RACK A3,,MGMT-SWITCH,SDLC,dhcp,,,snmpv2,51HPY08,7
Leaf SN11,leaf,MainFabric,10.168.7.29/24,10.168.7.1,admin,mypasswd,POD 2B,RACK A4,,Leaf SN11,SDLC,dhcp,,,gnmi,51HPY09,
Leaf SN12,leaf,MainFabric,10.168.7.30/24,10.168.7.1,admin,mypasswd,POD 2B,RACK A4,,Leaf SN12,SDLC,dhcp,,,gnmi,51HPY10,
Leaf SN1,leaf,MainFabric,10.168.7.19/24,10.168.7.1,admin,mypasswd,POD A,RACK A5,,Leaf SN1,SDLC,dhcp,,,gnmi,51HPY11,
MGMT-SWITCH-2,management,Management1,10.168.7.31/24,10.168.7.1,admin,mypasswd,POD A,RACK A6,,MGMT-SWITCH-2,SDLC,dhcp,,,snmpv2,51HPY12,
Spine DK4,spine,MainFabric,10.168.7.18/24,10.168.7.1,admin,mypasswd,POD B,RACK A6,,Spine DK4,SDLC,dhcp,,,gnmi,51HPY13,
Spine-Cumulus-SN5610-1,spine,Cumulus-SN5xxx-Network,10.168.0.100/24,10.168.0.1,cumulus,mypasswd,Pod0,RACK A7,,Spine-Cumulus-SN5610-1,SDLC,dhcp,,,restconf,MT2540600W6F,
Leaf-Cumulus-SN5400-1,leaf,Cumulus-SN5xxx-Network,10.168.0.120/24,10.168.0.1,cumulus,mypasswd,Pod0,RACK A7,,Leaf-Cumulus-SN5400-1,SDLC,dhcp,,,restconf,MT2534XZ096P,
Leaf-Cumulus-SN5400-2,leaf,Cumulus-SN5xxx-Network,10.168.0.60/24,10.168.0.1,cumulus,mypasswd,Pod0,RACK A7,,Leaf-Cumulus-SN5400-2,SDLC,dhcp,,,restconf,MT2534XZ0960,
