FDC Import,Version Number,,v1,,,,,,,Add at install time,,,,,,
SWITCH NAME,ROLE,FABRIC,SWITCH IP/MASK,SWITCH GATEWAY,USERNAME,PASSWORD,POD,RACK,PAIRS,LLDP CHASSIS ID,SDLC HOSTNAME,IP SOURCE,IP AND MASK,GATEWAY,ZTP IDENTIFICATION,MGT TOR UPLINK PORT
SuperSpine 1A,superspine,MainFabric,10.168.7.17/24,10.168.7.1,admin,mypasswd,,RACK A1,,G201W43,SDLC,dhcp,,,,
Spine DK1,spine,MainFabric,10.168.7.14/24,10.168.7.1,admin,mypasswd,POD A,RACK A1,,74:86:e2:88:e6:25,SDLC,dhcp,,,21M5SR3,
Spine DK2,spine,MainFabric,10.168.7.15/24,10.168.7.1,admin,mypasswd,POD A,RACK A2,,74:86:e2:89:43:25,SDLC,dhcp,,,22J3SR3,
Spine DK3,spine,MainFabric,10.168.7.16/24,10.168.7.1,admin,mypasswd,POD B,RACK A3,,0c:48:c6:97:39:86,SDLC,dhcp,,,DX030F2B043607UB200023,
Leaf SN2,leaf,MainFabric,10.168.7.22/24,10.168.7.1,admin,mypasswd,POD C,RACK A1,,583554T2226042,SDLC,dhcp,,,,
Spine DK5,spine,MainFabric,10.168.7.21/24,10.168.7.1,admin,mypasswd,POD C,RACK A1,,732656X2329034,SDLC,dhcp,,,,
Leaf SN4,leaf,MainFabric,10.168.7.20/24,10.168.7.1,admin,mypasswd,POD C,RACK A1,,463054PE2322096,SDLC,dhcp,,,,
Leaf SN3,leaf,MainFabric,10.168.7.23/24,10.168.7.1,admin,mypasswd,POD B,RACK A2,,876QY03,SDLC,dhcp,,,,
Leaf SN6,leaf,MainFabric,10.168.7.24/24,10.168.7.1,admin,mypasswd,POD B,RACK A2,Switch Pair R1,51HPY03,SDLC,dhcp,,,,
Leaf SN7,leaf,MainFabric,10.168.7.25/24,10.168.7.1,admin,mypasswd,POD B,RACK A2,Switch Pair R1,B6QP363,SDLC,static,10.89.0.94/16,10.89.0.1,,
Leaf SN8,leaf,MainFabric,10.168.7.26/24,10.168.7.1,admin,mypasswd,POD 2A,RACK A2,,JZ23FM8,SDLC,static,10.89.0.77/16,10.89.0.1,,
Leaf SN9,leaf,MainFabric,10.168.7.27/24,10.168.7.1,admin,mypasswd,POD 2A,RACK A3,,JZ23FM9,SDLC,dhcp,,,,
Leaf SN10,leaf,MainFabric,10.168.7.28/24,10.168.7.1,admin,mypasswd,POD 2A,RACK A3,,JZ23FN1,SDLC,dhcp,,,,
MGMT-SWITCH,management,Management1,10.168.7.13/24,10.168.7.1,admin,mypasswd,POD A,RACK A3,,E1070F2B073422GD200264,SDLC,dhcp,,,,7
Leaf SN11,leaf,MainFabric,10.168.7.29/24,10.168.7.1,admin,mypasswd,POD 2B,RACK A4,,D3030F2B033419AR200002,SDLC,dhcp,,,,
Leaf SN12,leaf,MainFabric,10.168.7.30/24,10.168.7.1,admin,mypasswd,POD 2B,RACK A4,,D3030F2B033419AR200005,SDLC,dhcp,,,,
Leaf SN1,leaf,MainFabric,10.168.7.19/24,10.168.7.1,admin,mypasswd,POD A,RACK A5,,4V1QY03,SDLC,dhcp,,,,
MGMT-SWITCH-2,management,Management1,10.168.7.31/24,10.168.7.1,admin,mypasswd,POD A,RACK A6,,E1070F2B073422GD200266,SDLC,dhcp,,,,
Spine DK4,spine,MainFabric,10.168.7.18/24,10.168.7.1,admin,mypasswd,POD B,RACK A6,,DX030F2B043607UB200015,SDLC,dhcp,,,,
